作品,作者,视频链接,可用性,备注
堆叠袭击农场V7,何为氕氘氚,https://www.bilibili.com/video/BV1bz4y1M7zM,1. 机器时序依赖假人的袭击触发时序,
5gt堆叠袭击农场,何为氕氘氚,https://www.bilibili.com/video/BV1QT411q7UG,1. 机器时序依赖假人的袭击触发时序,
绿宝石印钞机2.0气泡柱版本,黑山大叔,https://www.bilibili.com/video/BV1f44y1x7vY,不好确定，但是真人能堆叠,能用的原因是时钟很慢，两波怪之间的距离大于招募距离
高版本袭击塔修改版（3.0）,黑山大叔,https://www.bilibili.com/video/BV1mP411J744,不好确定，但是真人能堆叠,和2.0大差不差
袭击塔生成架牵引修改版(3.5),黑山大叔,https://www.bilibili.com/video/BV1RW4y1u7Mj,不好确定，但是真人能堆叠,如前面所述，使用28gt时钟其实是因为怪摔落的时间在28gt左右，刚好能拉开足够的距离
袭击塔4.0,黑山大叔,https://www.bilibili.com/video/BV1WN411A7dM,2. 需要稳定的玩家行为,能用的原因是时钟很慢，两波怪之间的距离大于招募距离
30万印钞机，改自小也睡醒了,黑山大叔,https://www.bilibili.com/video/BV1bg4y127Ve,1. 依赖假人在实体更新阶段的攻击,
阿尔法修改版40w袭击塔,"黑山大叔, alpha-hhh",https://www.bilibili.com/video/BV16y4y1d7r2,1. 依赖假人在实体更新阶段的攻击,
1.18+340k四村民无恼鬼上迁印钞机,沫幽忧,https://www.bilibili.com/video/BV1Gu411G79Y,无存档,
无恼无雪4村民420k印钞机V2,沫幽忧,https://www.bilibili.com/video/BV1bu411G7tz,不好评价,时序设计不良，按照作者给的使用方式都很容易刷出恼鬼。
欠时代堆叠袭击农场[430k/h],沫幽忧,https://www.bilibili.com/video/BV1VX4y1x77z,无存档,
欠欠欠时代袭击农场[430k/h],沫幽忧,https://www.bilibili.com/video/BV11m4y1p7ws,2. 需要稳定的玩家行为,不用侦测器观察绊线或许能到 3.
袭畸塔,沫幽忧,https://www.bilibili.com/video/BV1RG411f77y,无存档,
欠时代袭击扁塔[260k/h],沫幽忧,https://www.bilibili.com/video/BV1Su4y1e7g2,1. 机器时序依赖假人的特殊性质,开关线路上的活塞被QC了
250k可实装欠扁袭击塔,沫幽忧,https://www.bilibili.com/video/BV1Vj41117fn,1. 机器时序依赖假人的特殊性质,侦测器观察绊线，之后的T触发器会因为恼鬼误触绊线而反转信号
350k欠扁袭击塔,沫幽忧,https://www.bilibili.com/video/BV1o34y1T7pL,无存档,
340k牛牛喷射塔,沫幽忧,https://www.bilibili.com/video/BV1V14y1C72X,无存档,
袭击农场ProMin[200k/h],沫幽忧,https://www.bilibili.com/video/BV1Yp421Z7X6,不好评价,
极其优雅的袭击塔,丨半世丶浮殇丨,https://www.bilibili.com/video/BV1Cw411s7ZV,1. 依赖假人在实体更新阶段的攻击,
极其优雅的袭击塔V2,丨半世丶浮殇丨,https://www.bilibili.com/video/BV1Fw411W7nS,2. 需要稳定的玩家行为,需要输入端防T触发反转、自动盔甲架补充和不会阻挡生成的平台
